編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
213,新竹縣,V2X技術與應用強化新竹縣自駕車運行路線計畫,112,"6,000,000","5,000,000","1,000,000","1,200,000","1,000,000","200,000",創新交通科技有限公司
214,苗栗縣,苗栗縣觀光走廊智慧交通管理系統建置與擴充計畫(110-111年),110,"10,526,320","10,000,000","526,320","10,526,320","10,000,000","526,320",中華電信股份有限公司企業客戶分公司
215,臺中市,主要幹道智慧化動態續進號誌計畫,110,"12,000,000","9,000,000","3,000,000","12,000,000","9,000,000","3,000,000",台灣世曦工程顧問股份有限公司
216,臺中市,臺中市交通行動服務(MaaS)計畫,110,"8,330,000","7,500,000","1,330,000","8,330,000","7,500,000","1,330,000",康和資訊系統股份有限公司
217,臺中市,臺中市交通行動服務(MaaS)計畫,111,"8,330,000","7,500,000","1,330,000","8,330,000","7,500,000","1,330,000",康和資訊系統股份有限公司
218,臺中市,110年中彰投聯合交通協控計畫,110,"29,176,470","24,800,000","4,376,470","29,176,470","24,800,000","4,376,470",逢甲大學
219,臺中市,110年中彰投聯合交通協控計畫,111,"29,176,470","24,800,000","4,376,470","29,176,470","24,800,000","4,376,470",逢甲大學
220,臺中市,臺灣大道自動駕駛巴士場域車路建置及營運規劃,110,"4,305,000","3,358,000","947,000","861,000","671,600","189,400",逢甲大學
221,臺中市,臺灣大道自動駕駛巴士場域車路建置及營運規劃,111,"4,305,000","3,358,000","947,000","3,444,000","2,686,400","757,600",逢甲大學
222,雲林縣,雲林縣智慧交通控制管理系統軟硬體擴充計畫,110,"13,340,000","12,000,000","1,340,000","10,672,000","9,600,000","1,072,000",逢甲大學
223,雲林縣,雲林縣智慧交通控制管理系統軟硬體擴充計畫,111,"13,340,000","12,000,000","1,340,000","2,668,000","2,400,000","268,000",逢甲大學
224,嘉義市,嘉義市整體路網壅塞改善與交控中心升級擴充計畫(110-111 年),110,"1,480,000","1,250,000","230,000","1,184,000","1,000,000","184,000",台灣世曦工程顧問股份有限公司
225,嘉義市,嘉義市整體路網壅塞改善與交控中心升級擴充計畫(110-111 年),111,"1,480,000","1,250,000","230,000","296,000","250,000","46,000",台灣世曦工程顧問股份有限公司
226,臺南市,110~111年臺南市整合交通資訊應用服務計畫,110,"11,800,000","7,866,667","3,933,333","11,800,000","7,866,667","3,933,333",資拓宏宇股份有限公司
227,臺南市,AI影像辨識之智慧交通管理系統,110,"11,970,000","7,980,000","3,990,000","11,970,000","7,980,000","3,990,000",資拓宏宇
228,高雄市,智慧觀光綠能共享運具串聯風景點商業模式推動計畫,110,"3,530,000","3,000,000","530,000","1,059,000","900,000","159,000",遠傳電信股份有限公司系統整合分公司
229,高雄市,智慧觀光綠能共享運具串聯風景點商業模式推動計畫,111,"3,530,000","3,000,000","530,000","2,471,000","2,100,000","371,000",遠傳電信股份有限公司系統整合分公司
230,高雄市,易肇事路口防制及安全防護警示應用計畫,110,"8,001,824","6,000,000","2,001,824","2,400,547","1,800,000","600,547",三維工程顧問股份有限公司
231,高雄市,易肇事路口防制及安全防護警示應用計畫,111,"8,001,824","6,000,000","2,001,824","5,601,277","4,200,000","1,401,277",三維工程顧問股份有限公司
232,高雄市,高雄市 MaaS 服務-2.0 功能服務提升計畫,110,"44,380,000","28,550,000","15,830,000","10,368,000","8,550,000","1,818,000",中冠資訊股份有限公司
233,高雄市,高雄市 MaaS 服務-2.0 功能服務提升計畫,111,"44,380,000","28,550,000","15,830,000","17,006,000","10,000,000","7,006,000",中冠資訊股份有限公司
234,高雄市,高雄市 MaaS 服務-2.0 功能服務提升計畫,112,"44,380,000","28,550,000","15,830,000","17,006,000","10,000,000","7,006,000",中冠資訊股份有限公司
235,高雄市,大美濃生活圈幸福運輸智慧交通服務應用計畫,110,"7,500,000","5,000,000","2,500,000","5,250,000","3,500,000","1,750,000",鼎漢國際工程顧問股份有限公司
236,高雄市,大美濃生活圈幸福運輸智慧交通服務應用計畫,111,"7,500,000","5,000,000","2,500,000","2,250,000","1,500,000","750,000",鼎漢國際工程顧問股份有限公司
237,宜蘭縣,110年宜蘭縣智慧運輸系統服務躍升計畫,110,"8,888,889","8,000,000","888,889","2,666,667","2,400,000","266,667",台灣世曦工程顧問股份有限公司
238,宜蘭縣,110年宜蘭縣智慧運輸系統服務躍升計畫,111,"8,888,889","8,000,000","888,889","6,222,222","5,600,000","622,222",台灣世曦工程顧問股份有限公司
239,花蓮縣,花蓮縣智慧路網管理整合暨交通路廊改善計畫,110,"9,369,000","7,000,000","396,000","2,810,700","2,100,000","110,700",中華電信
240,花蓮縣,花蓮縣智慧路網管理整合暨交通路廊改善計畫,111,"9,369,000","7,000,000","396,000","6,558,300","4,900,000","285,300",中華電信
241,花蓮縣,花蓮公共運輸及偏鄉基本民行智慧服務管理計畫,110,"9,474,000","9,000,000","474,000","2,842,200","2,700,000","142,200",鼎漢
242,花蓮縣,花蓮公共運輸及偏鄉基本民行智慧服務管理計畫,111,"9,474,000","9,000,000","474,000","6,631,800","6,300,000","331,800",鼎漢
243,臺東縣,臺東縣智慧交通基礎建設與應用計畫(第三期),110,"12,650,000","12,000,000","650,000","3,795,000","3,600,000","195,000",水靈科技股份有限公司
244,臺東縣,臺東縣智慧交通基礎建設與應用計畫(第三期),111,"12,650,000","12,000,000","650,000","8,855,000","8,400,000","455,000",水靈科技股份有限公司
245,澎湖縣,菊島智旅平台建置與營運計畫,110,"5,270,000","5,000,000","270,000","2,898,500","2,750,000","148,500",三維工程顧問股份有限公司
246,澎湖縣,菊島智旅平台建置與營運計畫,111,"5,270,000","5,000,000","270,000","2,371,500","2,250,000","121,500",三維工程顧問股份有限公司
247,金門縣,金門縣交通控制系統建置計畫,110,"22,601,541","19,200,000","3,401,541","6,780,462","5,760,000","1,020,462",台灣世曦
248,金門縣,金門縣交通控制系統建置計畫,111,"22,601,541","19,200,000","3,401,541","11,300,771","9,600,000","1,700,771",台灣世曦
249,新竹市,大新竹聯外路廊智慧交通改善與資訊整合計畫(第2期)後續擴充,109,"35,000,000","29,750,000","5,250,000","23,100,000","19,635,000","3,465,000",中華電信股份有限公司臺灣北區電信分公司
250,連江縣,連江縣南竿鄉智慧停車管理系統建置計畫,109,,,,,,,睿能數位行動有限公司
251,高雄市,新一代智慧運輸系統建置計畫,110,"22,200,000","18,870,000","3,330,000","17,760,000","15,096,000","2,664,000",資拓宏宇國際股份有限公司
252,高雄市,新一代智慧運輸系統建置計畫,111,"22,200,000","18,870,000","3,330,000","4,440,000","3,774,000","666,000",資拓宏宇國際股份有限公司
253,新竹市,大新竹聯外路廊智慧交通改善與資訊整合計畫(第2期)後續擴充,110,"35,000,000","29,750,000","5,250,000","11,900,000","10,115,000","1,785,000",中華電信股份有限公司臺灣北區電信分公司
254,新竹市,110年度智慧運輸系統發展建設計畫-新竹市通勤路廊智慧交控計畫,110,"15,000,000","10,000,000","5,000,000","3,600,000","2,400,000","1,200,000",中華電信股份有限公司企業客戶分公司
255,連江縣,110年連江縣南竿鄉智慧停車管理系統建置計畫,110,,,,,,,睿能數位行動有限公司
256,基隆市,基隆交通AIoT戰情室系統建置計畫（109-110年）,110,"14,830,000","12,605,000","2,225,000","4,449,000","3,781,500","667,500",資拓宏宇國際股份有限公司
257,基隆市,基隆交通AIoT戰情室系統建置計畫（109-110年）,111,"14,830,000","12,605,000","2,225,000","10,381,000","8,823,500","1,557,500",資拓宏宇國際股份有限公司
258,新北市,新北市通學科技廊道改善計畫,110,"3,550,000","2,550,000","1,000,000","3,550,000","2,550,000","1,000,000",中華電信股份有限公司台灣北區電信分公司
259,桃園市,110年度智慧交通安全路口路段防護試辦計畫,110,"9,750,000","7,500,000","2,500,000","2,250,000","7,500,000","2,500,000",
260,桃園市,110年度智慧交通安全路口路段防護試辦計畫,111,"9,750,000","7,500,000","2,500,000","2,250,000",0,0,
261,桃園市,110年度智慧交通安全路口路段防護試辦計畫,112,"9,750,000","7,500,000","2,500,000","5,250,000",0,0,
262,臺東縣,TT Uber交通預約媒合平台：台東慢經濟觀光服務應用計畫,110,"7,894,739","7,500,000","394,739","7,894,739","6,000,000","315,791",小驢行股份有限公司
263,臺東縣,TT Uber交通預約媒合平台：台東慢經濟觀光服務應用計畫,111,"7,894,739","7,500,000","394,739",0,"1,500,000","78,948",小驢行股份有限公司
264,新竹縣,竹北交流道周邊智慧交通管理控制系統建置計畫,110,"28,630,000","24,328,688","4,301,312","8,589,000","7,298,606","1,290,394",創新交通科技有限公司
265,新竹縣,竹北交流道周邊智慧交通管理控制系統建置計畫,111,"28,630,000","24,328,688","4,301,312","20,041,000","17,030,082","3,010,918",創新交通科技有限公司
266,高雄市,高雄輕軌、渡輪QR Code系統建置,110,"17,810,000","15,000,000","2,810,000","17,810,000","15,000,000","2,810,000",高雄捷運股份有限公司
267,嘉義市,110嘉義市交通資訊查詢系統平台建置計畫,110,"100,000","85,000","15,000","80,000","68,000","12,000",哈瑪星科技股份有限公司
268,嘉義市,110嘉義市交通資訊查詢系統平台建置計畫,111,"100,000","85,000","15,000","20,000","17,000","3,000",哈瑪星科技股份有限公司
269,臺東縣,臺東縣智慧交通基礎建設與應用計畫(第三期),110,,,,,,,水靈科技股份有限公司
270,桃園市,110年桃園市大型車輛智慧管理辨識系統,111,"10,670,000","8,002,500","2,667,500","10,670,000","8,002,500","2,667,500",力歐新能源股份有限公司
271,臺北市,111年協助視障人士搭公車及過馬路計畫,111,"14,100,000","7,000,000","7,100,000","14,100,000","7,000,000","7,100,000",資拓宏宇股份有限公司
272,屏東縣,屏東縣自駕巴士公共接駁規劃評估案,111,"3,684,211","3,500,000","184,211","3,684,211","3,500,000","184,211",逢甲大學
